route_id,stop_id,stop_name,next_stop,derived_next_stop,derived_stop_name
62B,6,TEMPLE JN.,KARISHMA NAGAR WATER BRG,62B-KARISHMA NAGAR WATER BRG,62B-TEMPLE JN.
62B,7,KARISHMA NAGAR WATER BRG,UPPARA PALAYAM,62B-UPPARA PALAYAM,62B-KARISHMA NAGAR WATER BRG
62B,8,UPPARA PALAYAM,POTHUR,62B-POTHUR,62B-UPPARA PALAYAM
62B,9,POTHUR,PAMMADUKULAM,62B-PAMMADUKULAM,62B-POTHUR
62B,10,PAMMADUKULAM,IRANKUPPAM,62B-IRANKUPPAM,62B-PAMMADUKULAM
62B,11,IRANKUPPAM,PAMMADUKULAM COLONY,62B-PAMMADUKULAM COLONY,62B-IRANKUPPAM
62B,12,PAMMADUKULAM COLONY,KARIMEDU,62B-KARIMEDU,62B-PAMMADUKULAM COLONY
62B,13,KARIMEDU,PAMMADUKULAM COLONY,62B-PAMMADUKULAM COLONY,62B-KARIMEDU
62B,14,PAMMADUKULAM COLONY,REDHILLS,62B-REDHILLS,62B-PAMMADUKULAM COLONY
62B,15,REDHILLS,62B,62B,62B-REDHILLS
63,1,VILLIVAKKAM,NATHAMUNI TALKIES,63-NATHAMUNI TALKIES,63-VILLIVAKKAM
63,2,NATHAMUNI TALKIES,LUCAS TVS,63-LUCAS TVS,63-NATHAMUNI TALKIES
63,3,LUCAS TVS,AMBATTUR I.E.,63-AMBATTUR I.E.,63-LUCAS TVS
63,4,AMBATTUR I.E.,DUNLOP,DUNLOP,63-AMBATTUR I.E.
63,5,DUNLOP,AYYAPPA NAGAR,63-AYYAPPA NAGAR,DUNLOP
63,6,AYYAPPA NAGAR,2ND WATER TANK ON SECOND AVE.,63-2ND WATER TANK ON SECOND AVE.,63-AYYAPPA NAGAR
63,7,2ND WATER TANK ON SECOND AVE.,KONIMEDU RD. JN.,63-KONIMEDU RD. JN.,63-2ND WATER TANK ON SECOND AVE.
63,8,KONIMEDU RD. JN.,KOLADI SCHOOL,63-KOLADI SCHOOL,63-KONIMEDU RD. JN.
63,9,KOLADI SCHOOL,THIRUVERKADU,63-THIRUVERKADU,63-KOLADI SCHOOL
63,10,THIRUVERKADU,63,63,63-THIRUVERKADU
63CT,1,AMBATTUR I.E.,DUNLOP,DUNLOP,63CT-AMBATTUR I.E.
63CT,2,DUNLOP,AYYAPPA NAGAR,63CT-AYYAPPA NAGAR,DUNLOP
63CT,3,AYYAPPA NAGAR,2ND WATER TANK ON SECOND AVE.,63CT-2ND WATER TANK ON SECOND AVE.,63CT-AYYAPPA NAGAR
63CT,4,2ND WATER TANK ON SECOND AVE.,KONEMEDU JN.,63CT-KONEMEDU JN.,63CT-2ND WATER TANK ON SECOND AVE.
63CT,5,KONEMEDU JN.,KOLADI SCHOOL,63CT-KOLADI SCHOOL,63CT-KONEMEDU JN.
63CT,6,KOLADI SCHOOL,THIRUVERKADU,63CT-THIRUVERKADU,63CT-KOLADI SCHOOL
